Location,Target,Type,Unit,Bin_start_incl,Bin_end_notincl,Value
US National,Season onset,Point,week,NA,NA,50
US National,Season onset,Bin,week,40,41,4.21547326267e-05
US National,Season onset,Bin,week,41,42,4.21547324834e-05
US National,Season onset,Bin,week,42,43,4.21547340979e-05
US National,Season onset,Bin,week,43,44,4.21547408427e-05
US National,Season onset,Bin,week,44,45,4.21550228578e-05
US National,Season onset,Bin,week,45,46,4.21601699506e-05
US National,Season onset,Bin,week,46,47,4.22588541782e-05
US National,Season onset,Bin,week,47,48,5.93960173741e-05
US National,Season onset,Bin,week,48,49,7.16208896513e-05
US National,Season onset,Bin,week,49,50,0.0405106974425
US National,Season onset,Bin,week,50,51,0.703954546675
US National,Season onset,Bin,week,51,52,0.0564873408668
US National,Season onset,Bin,week,52,53,0.0499955121403
US National,Season onset,Bin,week,1,2,0.0356444010472
US National,Season onset,Bin,week,2,3,0.0177286399514
US National,Season onset,Bin,week,3,4,0.0138494397121
US National,Season onset,Bin,week,4,5,0.0168438730278
US National,Season onset,Bin,week,5,6,0.0189414782165
US National,Season onset,Bin,week,6,7,0.0121893151887
US National,Season onset,Bin,week,7,8,0.00903720262168
US National,Season onset,Bin,week,8,9,0.00644919154636
US National,Season onset,Bin,week,9,10,0.00803353404181
US National,Season onset,Bin,week,10,11,0.00529395891058
US National,Season onset,Bin,week,11,12,0.0017283440116
US National,Season onset,Bin,week,12,13,0.000623793543828
US National,Season onset,Bin,week,13,14,0.000151564055912
US National,Season onset,Bin,week,14,15,0.000479309579548
US National,Season onset,Bin,week,15,16,0.000512936875514
US National,Season onset,Bin,week,16,17,0.000748327947276
US National,Season onset,Bin,week,17,18,0.000243918507786
US National,Season onset,Bin,week,18,19,4.21547319902e-05
US National,Season onset,Bin,week,19,20,4.21547319902e-05
US National,Season onset,Bin,week,20,21,4.21547319902e-05
US National,Season onset,Bin,week,none,none,0.0
HHS Region 1,Season onset,Point,week,NA,NA,52
HHS Region 1,Season onset,Bin,week,40,41,5.21501002841e-05
HHS Region 1,Season onset,Bin,week,41,42,5.2150263313e-05
HHS Region 1,Season onset,Bin,week,42,43,5.21503324768e-05
HHS Region 1,Season onset,Bin,week,43,44,5.21502731935e-05
HHS Region 1,Season onset,Bin,week,44,45,5.22216156293e-05
HHS Region 1,Season onset,Bin,week,45,46,5.22171693865e-05
HHS Region 1,Season onset,Bin,week,46,47,5.22151932786e-05
HHS Region 1,Season onset,Bin,week,47,48,5.22458229511e-05
HHS Region 1,Season onset,Bin,week,48,49,5.23016479995e-05
HHS Region 1,Season onset,Bin,week,49,50,5.43330869289e-05
HHS Region 1,Season onset,Bin,week,50,51,0.000347577619928
HHS Region 1,Season onset,Bin,week,51,52,0.0359679107146
HHS Region 1,Season onset,Bin,week,52,53,0.288649933361
HHS Region 1,Season onset,Bin,week,1,2,0.107918343095
HHS Region 1,Season onset,Bin,week,2,3,0.125994902264
HHS Region 1,Season onset,Bin,week,3,4,0.116143534193
HHS Region 1,Season onset,Bin,week,4,5,0.0673559851623
HHS Region 1,Season onset,Bin,week,5,6,0.0639937952478
HHS Region 1,Season onset,Bin,week,6,7,0.0516012225791
HHS Region 1,Season onset,Bin,week,7,8,0.0397701571326
HHS Region 1,Season onset,Bin,week,8,9,0.0290287575065
HHS Region 1,Season onset,Bin,week,9,10,0.0223717277158
HHS Region 1,Season onset,Bin,week,10,11,0.0151734870347
HHS Region 1,Season onset,Bin,week,11,12,0.00831532208854
HHS Region 1,Season onset,Bin,week,12,13,0.00565632134326
HHS Region 1,Season onset,Bin,week,13,14,0.00605297871209
HHS Region 1,Season onset,Bin,week,14,15,0.00338529813986
HHS Region 1,Season onset,Bin,week,15,16,0.00455712759534
HHS Region 1,Season onset,Bin,week,16,17,0.00328649274446
HHS Region 1,Season onset,Bin,week,17,18,0.00374854178115
HHS Region 1,Season onset,Bin,week,18,19,5.21494876906e-05
HHS Region 1,Season onset,Bin,week,19,20,5.21494876906e-05
HHS Region 1,Season onset,Bin,week,20,21,5.21494876906e-05
HHS Region 1,Season onset,Bin,week,none,none,0.0
HHS Region 2,Season onset,Point,week,NA,NA,47
HHS Region 2,Season onset,Bin,week,40,41,0.000144941629568
HHS Region 2,Season onset,Bin,week,41,42,0.000144941630106
HHS Region 2,Season onset,Bin,week,42,43,0.000144941630098
HHS Region 2,Season onset,Bin,week,43,44,0.000144941680532
HHS Region 2,Season onset,Bin,week,44,45,0.000144947271082
HHS Region 2,Season onset,Bin,week,45,46,0.000145479843382
HHS Region 2,Season onset,Bin,week,46,47,0.0568195050865
HHS Region 2,Season onset,Bin,week,47,48,0.825130129453
HHS Region 2,Season onset,Bin,week,48,49,0.0604508272302
HHS Region 2,Season onset,Bin,week,49,50,0.000144941629564
HHS Region 2,Season onset,Bin,week,50,51,0.000144941629564
HHS Region 2,Season onset,Bin,week,51,52,0.000144941629564
HHS Region 2,Season onset,Bin,week,52,53,0.00609771614369
HHS Region 2,Season onset,Bin,week,1,2,0.00596802606713
HHS Region 2,Season onset,Bin,week,2,3,0.00590318102885
HHS Region 2,Season onset,Bin,week,3,4,0.00596802606713
HHS Region 2,Season onset,Bin,week,4,5,0.00581239797526
HHS Region 2,Season onset,Bin,week,5,6,0.00601990209776
HHS Region 2,Season onset,Bin,week,6,7,0.00528066866136
HHS Region 2,Season onset,Bin,week,7,8,0.00391892285748
HHS Region 2,Season onset,Bin,week,8,9,0.00338719354358
HHS Region 2,Season onset,Bin,week,9,10,0.00271280514546
HHS Region 2,Season onset,Bin,week,10,11,0.00176606758657
HHS Region 2,Season onset,Bin,week,11,12,0.00102683415018
HHS Region 2,Season onset,Bin,week,12,13,0.000702608958775
HHS Region 2,Season onset,Bin,week,13,14,0.000469166820966
HHS Region 2,Season onset,Bin,week,14,15,0.000287600713781
HHS Region 2,Season onset,Bin,week,15,16,0.0002227556755
HHS Region 2,Season onset,Bin,week,16,17,0.000170879644876
HHS Region 2,Season onset,Bin,week,17,18,0.000144941629564
HHS Region 2,Season onset,Bin,week,18,19,0.000144941629564
HHS Region 2,Season onset,Bin,week,19,20,0.000144941629564
HHS Region 2,Season onset,Bin,week,20,21,0.000144941629564
HHS Region 2,Season onset,Bin,week,none,none,0.0
HHS Region 3,Season onset,Point,week,NA,NA,51
HHS Region 3,Season onset,Bin,week,40,41,9.79932053573e-05
HHS Region 3,Season onset,Bin,week,41,42,9.79932053898e-05
HHS Region 3,Season onset,Bin,week,42,43,9.79932094995e-05
HHS Region 3,Season onset,Bin,week,43,44,9.79932099172e-05
HHS Region 3,Season onset,Bin,week,44,45,9.79937193036e-05
HHS Region 3,Season onset,Bin,week,45,46,9.79984314437e-05
HHS Region 3,Season onset,Bin,week,46,47,9.79989698679e-05
HHS Region 3,Season onset,Bin,week,47,48,9.79994618762e-05
HHS Region 3,Season onset,Bin,week,48,49,9.79995454248e-05
HHS Region 3,Season onset,Bin,week,49,50,9.86513821884e-05
HHS Region 3,Season onset,Bin,week,50,51,0.0633164212229
HHS Region 3,Season onset,Bin,week,51,52,0.475464457234
HHS Region 3,Season onset,Bin,week,52,53,0.0527336006736
HHS Region 3,Season onset,Bin,week,1,2,0.0556842625233
HHS Region 3,Season onset,Bin,week,2,3,0.0749248784784
HHS Region 3,Season onset,Bin,week,3,4,0.0602076628931
HHS Region 3,Season onset,Bin,week,4,5,0.0455529228544
HHS Region 3,Season onset,Bin,week,5,6,0.0293788801914
HHS Region 3,Season onset,Bin,week,6,7,0.029662263829
HHS Region 3,Season onset,Bin,week,7,8,0.0244564087843
HHS Region 3,Season onset,Bin,week,8,9,0.0178200279112
HHS Region 3,Season onset,Bin,week,9,10,0.0184484373362
HHS Region 3,Season onset,Bin,week,10,11,0.0100884822987
HHS Region 3,Season onset,Bin,week,11,12,0.00601802125384
HHS Region 3,Season onset,Bin,week,12,13,0.00647126525591
HHS Region 3,Season onset,Bin,week,13,14,0.00709520301936
HHS Region 3,Season onset,Bin,week,14,15,0.00546103069862
HHS Region 3,Season onset,Bin,week,15,16,0.00479623862715
HHS Region 3,Season onset,Bin,week,16,17,0.00549076186347
HHS Region 3,Season onset,Bin,week,17,18,0.00565417909554
HHS Region 3,Season onset,Bin,week,18,19,9.79932050157e-05
HHS Region 3,Season onset,Bin,week,19,20,9.79932050157e-05
HHS Region 3,Season onset,Bin,week,20,21,9.79932050157e-05
HHS Region 3,Season onset,Bin,week,none,none,0.0
HHS Region 4,Season onset,Point,week,NA,NA,45
HHS Region 4,Season onset,Bin,week,40,41,0.000238257138274
HHS Region 4,Season onset,Bin,week,41,42,0.000238283323516
HHS Region 4,Season onset,Bin,week,42,43,0.000240737594853
HHS Region 4,Season onset,Bin,week,43,44,0.0468953882982
HHS Region 4,Season onset,Bin,week,44,45,0.0740328211206
HHS Region 4,Season onset,Bin,week,45,46,0.769185857329
HHS Region 4,Season onset,Bin,week,46,47,0.000238047656336
HHS Region 4,Season onset,Bin,week,47,48,0.000238047656336
HHS Region 4,Season onset,Bin,week,48,49,0.000238047656336
HHS Region 4,Season onset,Bin,week,49,50,0.000238047656336
HHS Region 4,Season onset,Bin,week,50,51,0.000238047656336
HHS Region 4,Season onset,Bin,week,51,52,0.000238047656336
HHS Region 4,Season onset,Bin,week,52,53,0.0143542736771
HHS Region 4,Season onset,Bin,week,1,2,0.0143780784427
HHS Region 4,Season onset,Bin,week,2,3,0.0132354496923
HHS Region 4,Season onset,Bin,week,3,4,0.0144494927396
HHS Region 4,Season onset,Bin,week,4,5,0.0135687164112
HHS Region 4,Season onset,Bin,week,5,6,0.0128783782078
HHS Region 4,Season onset,Bin,week,6,7,0.0100218063318
HHS Region 4,Season onset,Bin,week,7,8,0.00542748656447
HHS Region 4,Season onset,Bin,week,8,9,0.00445149117349
HHS Region 4,Season onset,Bin,week,9,10,0.00157111453182
HHS Region 4,Season onset,Bin,week,10,11,0.000785557265909
HHS Region 4,Season onset,Bin,week,11,12,0.000452290547039
HHS Region 4,Season onset,Bin,week,12,13,0.00026185242197
HHS Region 4,Season onset,Bin,week,13,14,0.000238047656336
HHS Region 4,Season onset,Bin,week,14,15,0.000238047656336
HHS Region 4,Season onset,Bin,week,15,16,0.000238047656336
HHS Region 4,Season onset,Bin,week,16,17,0.000238047656336
HHS Region 4,Season onset,Bin,week,17,18,0.000238047656336
HHS Region 4,Season onset,Bin,week,18,19,0.000238047656336
HHS Region 4,Season onset,Bin,week,19,20,0.000238047656336
HHS Region 4,Season onset,Bin,week,20,21,0.000238047656336
HHS Region 4,Season onset,Bin,week,none,none,0.0
HHS Region 5,Season onset,Point,week,NA,NA,52
HHS Region 5,Season onset,Bin,week,40,41,5.31459601164e-05
HHS Region 5,Season onset,Bin,week,41,42,5.3145959764e-05
HHS Region 5,Season onset,Bin,week,42,43,5.31459569949e-05
HHS Region 5,Season onset,Bin,week,43,44,5.31460055794e-05
HHS Region 5,Season onset,Bin,week,44,45,5.31463922419e-05
HHS Region 5,Season onset,Bin,week,45,46,5.31464274846e-05
HHS Region 5,Season onset,Bin,week,46,47,5.31460025586e-05
HHS Region 5,Season onset,Bin,week,47,48,5.31460488776e-05
HHS Region 5,Season onset,Bin,week,48,49,5.31461163421e-05
HHS Region 5,Season onset,Bin,week,49,50,5.53309948476e-05
HHS Region 5,Season onset,Bin,week,50,51,0.0295059503039
HHS Region 5,Season onset,Bin,week,51,52,0.0347923510855
HHS Region 5,Season onset,Bin,week,52,53,0.225886090133
HHS Region 5,Season onset,Bin,week,1,2,0.0469683906987
HHS Region 5,Season onset,Bin,week,2,3,0.0588482658543
HHS Region 5,Season onset,Bin,week,3,4,0.0780326085584
HHS Region 5,Season onset,Bin,week,4,5,0.0659240734681
HHS Region 5,Season onset,Bin,week,5,6,0.0754086210875
HHS Region 5,Season onset,Bin,week,6,7,0.0780222241894
HHS Region 5,Season onset,Bin,week,7,8,0.0753162376842
